"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
primary_school_closed_t,school_closures,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"[school_closed_specific(2)]=1 AND [primary_school_closed_status] <> 9",y,,,,,
primary_school_closed_desc,school_closures,,notes,Details,,,,,,,[school_closed_specific(2)]=1,,,,,,
sec_school_closed_status,school_closures,,dropdown,"What is the updated status related to the closure of secondary schools?","0, closed | 1, partially closed | 2, open | 9, unknown",,,,,,[school_closed_specific(3)]=1,y,,,,," @HIDECHOICE='9'"
sec_school_closed_pop,school_closures,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[school_closed_specific(3)]=1,y,,,,,
sec_school_closed_req,school_closures,,dropdown,"Is any aspect of this policy mandatory (versus recommended)?","0, no | 1, yes | 9, unknown",,,,,,[school_closed_specific(3)]=1,y,,,,,
sec_school_closed_t,school_closures,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"[school_closed_specific(3)]=1 AND [sec_school_closed_status] <> 9",y,,,,,
sec_school_closed_desc,school_closures,,notes,Details,,,,,,,[school_closed_specific(3)]=1,,,,,,
postsec_school_closed_status,school_closures,,dropdown,"What is the updated status related to the closure of post-secondary schools?","0, closed | 1, partially closed | 2, open | 9, unknown",,,,,,[school_closed_specific(4)]=1,y,,,,," @HIDECHOICE='9'"
postsec_school_closed_pop,school_closures,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[school_closed_specific(4)]=1,y,,,,,
postsec_school_closed_req,school_closures,,dropdown,"Is any aspect of this policy mandatory (versus recommended)?","0, no | 1, yes | 9, unknown",,,,,,[school_closed_specific(4)]=1,y,,,,,
postsec_school_closed_t,school_closures,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"[school_closed_specific(4)]=1 AND [postsec_school_closed_status] <> 9",y,,,,,
postsec_school_closed_desc,school_closures,,notes,Details,,,,,,,[school_closed_specific(4)]=1,,,,,,
school_closed_source,school_closures,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,"([school_closed_specific(1)]=1 AND [nursery_school_closed_status] <> 9) OR
([school_closed_specific(2)]=1 AND [primary_school_closed_status] <> 9) OR
([school_closed_specific(3)]=1 AND [sec_school_closed_status] <> 9) OR
([school_closed_specific(4)]=1 AND [postsec_school_closed_status] <> 9)",y,,,,,
school_closed_url,school_closures,,notes,url,,,,,,,"([school_closed_specific(1)]=1 AND [nursery_school_closed_status] <> 9) OR
([school_closed_specific(2)]=1 AND [primary_school_closed_status] <> 9) OR
([school_closed_specific(3)]=1 AND [sec_school_closed_status] <> 9) OR
([school_closed_specific(4)]=1 AND [postsec_school_closed_status] <> 9)",,,,,,
nursing_home_closed_status,nursing_homelongterm_care_closures,"Nursing Home/Long-Term Care Closures",dropdown,"Nursing homes/long-term care facility closures to outside visitors?","0, closed | 1, partially closed | 2, open | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
nursing_home_closed_req,nursing_homelongterm_care_closures,,dropdown,"Is any aspect of this policy mandatory (versus recommended)?","0, no | 1, yes | 9, unknown",,,,,,,y,,,,,
nursing_home_closed_pop,nursing_homelongterm_care_closures,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,"[nursing_home_closed_status] <> 9",y,,,,,
nursing_home_closed_t,nursing_homelongterm_care_closures,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"[nursing_home_closed_status] <> 9",y,,,,,
nursing_home_closed_desc,nursing_homelongterm_care_closures,,notes,Details,,,,,,,,,,,,,
nursing_home_closed_source,nursing_homelongterm_care_closures,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,"[nursing_home_closed_status] <> 9",y,,,,,
nursing_home_closed_url,nursing_homelongterm_care_closures,,notes,url,,,,,,,"[nursing_home_closed_status] <> 9",,,,,,
office_closed_status,office_closures,"Office Closures",dropdown,"Offices/work places closed (non-essential)","0, closed | 1, partially closed | 2, open | 9, unknown",,,,,,,,,,,," @HIDECHOICE='9'"
office_closed_pop,office_closures,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation","this is referring to non-essential workplaces not counting medical workers, those involved with food services etc",,,,,[office_closed_status]<>9,y,,,,,
office_closed_req,office_closures,,dropdown,"Is any aspect of this policy mandatory (versus recommended)?","0, no | 1, yes | 9, unknown",,,,,,,y,,,,,
office_closed_t,office_closures,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[office_closed_status]<>9,y,,,,,
office_closed_desc,office_closures,,notes,Details,,,,,,,,,,,,,
office_closed_source,office_closures,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[office_closed_status]<>9,y,,,,,
office_closed_url,office_closures,,notes,url,,,,,,,[office_closed_status]<>9,,,,,,
entertainment_closed_status,leisure_entertainment_and_religious_venue_closures,"Closures of leisure, entertainment and religious venues",dropdown,"<div class=""rich-text-field-label""><p>Closing of leisure, entertainment (e.g., movie theaters, night clubs, gyms) and religious (church) venues.</p> <p> </p> <p><em>Note: there is a separate question about restaurants</em></p></div>","0, closed | 1, partially closed | 2, open | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
entertainment_closed_pop,leisure_entertainment_and_religious_venue_closures,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[entertainment_closed_status]<>9,y,,,,,
entertainment_closed_req,leisure_entertainment_and_religious_venue_closures,,dropdown,"Is any aspect of this policy mandatory (versus recommended)?","0, no | 1, yes | 9, unknown",,,,,,,y,,,,,
entertainment_closed_t,leisure_entertainment_and_religious_venue_closures,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[entertainment_closed_status]<>9,y,,,,,
entertainment_closed_desc,leisure_entertainment_and_religious_venue_closures,,notes,Details,,,,,,,[entertainment_closed_status]<>9,,,,,,
entertainment_closed_source,leisure_entertainment_and_religious_venue_closures,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[entertainment_closed_status]<>9,y,,,,,
entertainment_closed_url,leisure_entertainment_and_religious_venue_closures,,notes,url,,,,,,,[entertainment_closed_status]<>9,,,,,,
restaurant_closed_status,restaurant_closures_and_restrictions,"Restaurants Closures and Restrictions (in-person dining)",dropdown,"Closing of in-person restaurant and bars (does not count delivery or take away)","0, closed | 1, partially closed | 2, open | 9, unknown",,,,,,,,,,,," @HIDECHOICE='9'"
restaurant_closed_pop,restaurant_closures_and_restrictions,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[restaurant_closed_status]<>9,y,,,,,
restaurant_closed_req,restaurant_closures_and_restrictions,,dropdown,"Is any aspect of this policy mandatory (versus recommended)?","0, no | 1, yes | 9, unknown",,autocomplete,,,,,y,,,,,
restaurant_closed_t,restaurant_closures_and_restrictions,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[restaurant_closed_status]<>9,y,,,,,
restaurant_closed_desc,restaurant_closures_and_restrictions,,notes,Details,,,,,,,,,,,,,
restaurant_closed_source,restaurant_closures_and_restrictions,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[restaurant_closed_status]<>9,y,,,,,
restaurant_closed_url,restaurant_closures_and_restrictions,,notes,url,,,,,,,[restaurant_closed_status]<>9,,,,,,
restaurant_reduced_up,restaurant_closures_and_restrictions,,dropdown,"Have there been changes to policy related to the maximum number of people allowed in a restaurant?","0, no | 1, yes",,,,,,,y,,,,,
restaurant_reduced_status,restaurant_closures_and_restrictions,,dropdown,"Limits on maximum capacity for in-person restaurant dining?","0, no | 1, recommended | 2, required | 9, unknown",,,,,,[restaurant_reduced_up]=1,y,,,,,
restaurant_reduced_max,restaurant_closures_and_restrictions,,text,"Maximum number of people, density or % reduction mandated (specific units should be noted in details):",,,number,,,,"[restaurant_reduced_status]=1 OR [restaurant_reduced_status]=2",,,,,,
restaurant_reduced_pop,restaurant_closures_and_restrictions,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,"[restaurant_reduced_up]=1 AND [restaurant_reduced_status]<>9",y,,,,,
restaurant_reduced_t,restaurant_closures_and_restrictions,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"[restaurant_reduced_up]=1 AND [restaurant_reduced_status]<>9",y,,,,,
restaurant_reduced_desc,restaurant_closures_and_restrictions,,notes,Details,,,,,,,"[restaurant_reduced_up]=1 AND [restaurant_reduced_status] <> 9",,,,,,
restaurant_reduced_source,restaurant_closures_and_restrictions,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,"[restaurant_reduced_up]=1 AND [restaurant_reduced_status] <> 9",y,,,,,
restaurant_reduced_url,restaurant_closures_and_restrictions,,notes,url,,,,,,,"[restaurant_reduced_up]=1 AND [restaurant_reduced_status] <> 9",,,,,,
store_closed_status,retail_store_closures,"Retail Store Closures",dropdown,"<div class=""rich-text-field-label""><p>Closing of non-essential stores? (E<em>ssential</em> stores typically include grocery stores, pharmacies, etc.)</p></div>","0, closed | 1, partially closed | 2, open | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
store_closed_pop,retail_store_closures,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[store_closed_status]<>9,y,,,,,
store_closed_req,retail_store_closures,,dropdown,"Is any aspect of this policy mandatory (versus recommended)?","0, no | 1, yes | 9, unknown",,,,,,,y,,,,,
store_closed_t,retail_store_closures,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[store_closed_status]<>9,y,,,,,
store_closed_desc,retail_store_closures,,notes,Details,,,,,,,[store_closed_status]<>9,,,,,,
store_closed_source,retail_store_closures,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[store_closed_status]<>9,y,,,,,
store_closed_url,retail_store_closures,,notes,url,,,,,,,[store_closed_status]<>9,,,,,,
public_transport_closed_status,public_transportation_closures,"Public Transportation Closures",dropdown,"Public transportation closures?","0, closed | 1, partially closed | 2, open | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
public_transport_closed_pop,public_transportation_closures,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[public_transport_closed_status]=1,y,,,,,
public_transport_closed_req,public_transportation_closures,,dropdown,"Is any aspect of this policy mandatory (versus recommended)?","0, no | 1, yes | 9, unknown",,,,,,,y,,,,,
public_transport_closed_t,public_transportation_closures,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[public_transport_closed_status]<>9,y,,,,,
public_transport_closed_desc,public_transportation_closures,,notes,Details,,,,,,,[public_transport_closed_status]<>9,,,,,,
public_transport_closed_source,public_transportation_closures,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[public_transport_closed_status]<>9,y,,,,,
public_transport_closed_url,public_transportation_closures,,notes,url,,,,,,,[public_transport_closed_status]<>9,,,,,,
public_space_closed_status,public_space_closures,"Public Space Closures",dropdown,"Public space closures","0, closed | 1, partially closed | 2, open | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
public_space_closed_pop,public_space_closures,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[public_transport_closed_status]<>9,y,,,,,
public_space_closed_req,public_space_closures,,dropdown,"Is any aspect of this policy mandatory (versus recommended)?","0, no | 1, yes | 9, unknown",,,,,,,y,,,,,
public_space_closed_t,public_space_closures,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[public_transport_closed_status]<>9,y,,,,,
public_space_closed_desc,public_space_closures,,notes,Details,,,,,,,,,,,,,
public_space_closed_source,public_space_closures,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[public_transport_closed_status]<>9,y,,,,,
public_space_closed_url,public_space_closures,,notes,url,,,,,,,[public_transport_closed_status]<>9,,,,,,
social_group_limits_status,limiting_gatherings,"Limiting Gatherings",dropdown,"Limits on size of social gatherings","0, no | 1, recommended | 2, required | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
social_group_limits_pop,limiting_gatherings,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[social_group_limits_status]<>9,y,,,,,
social_group_limits_size,limiting_gatherings,,text,"Gathering size limit (number)",,,integer,,,,"([social_group_limits_status]<>9 OR [social_group_limits_status]<>0)",,,,,,
social_group_limits_t,limiting_gatherings,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[social_group_limits_status]<>9,y,,,,,
social_group_limits_desc,limiting_gatherings,,notes,Details,,,,,,,,,,,,,
social_group_limits_source,limiting_gatherings,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[social_group_limits_status]<>9,y,,,,,
social_group_limits_url,limiting_gatherings,,notes,url,,,,,,,[social_group_limits_status]<>9,,,,,,
contact_tracing_status,contact_tracing,"Contact Tracing",dropdown,"What is the policy on contact tracing the contacts of confirmed cases?","0, no contact tracing | 1, complete contact tracing | 2, partial contact tracing | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
contact_tracing_t,contact_tracing,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"[contact_tracing_status] <> 9",y,,,,,
contact_tracing_desc,contact_tracing,,notes,Details,,,,,,,"[contact_tracing_status] <> 9",,,,,,
contact_tracing_source,contact_tracing,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,"[contact_tracing_status] <> 9",y,,,,,
contact_tracing_url,contact_tracing,,notes,url,,,,,,,"[contact_tracing_status] <> 9",,,,,,
testing_symp_status,testing_symptomatic_individuals,"Testing Symptomatic Individuals",dropdown,"Which symptomatic individuals are eligible for testing?","1, none | 2, some | 3, all | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
testing_symp_elg,testing_symptomatic_individuals,,checkbox,"Check current eligibilty critieria for testing","1, age | 2, symptom severity | 3, comorbidity | 4, hospitalization | 5, travel history | 6, contact with case | 7, other potential exposure | 8, other","please provide exact criteria in details section below",,,,,[testing_symp_status]=2,y,,,,,
testing_symp_t,testing_symptomatic_individuals,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[testing_symp_status]<>9,y,,,,,
testing_symp_desc,testing_symptomatic_individuals,,notes,Details,,,,,,,[testing_symp_status]<>9,,,,,,
testing_symp_source,testing_symptomatic_individuals,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[testing_symp_status]<>9,y,,,,,
testing_symp_url,testing_symptomatic_individuals,,notes,url,,,,,,,[testing_symp_status]<>9,,,,,,
testing_asymp_status,testing_asymptomatic_individuals,"Testing Asymptomatic Individuals",dropdown,"Which asymptomatic individuals are eligible for testing?","1, none | 2, some | 3, all | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
testing_asymp_elg,testing_asymptomatic_individuals,,checkbox,"Check current eligibilty critieria for testing","1, age | 2, travel history | 3, comorbidities | 4, contact with case | 5, other potential exposure | 6, other","please provide exact criteria in details section below",,,,,[testing_asymp_status]=2,y,,,,,
testing_asymp_t,testing_asymptomatic_individuals,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[testing_asymp_status]<>9,y,,,,,
testing_asymp_desc,testing_asymptomatic_individuals,,notes,Details,,,,,,,[testing_asymp_status]<>9,,,,,,
testing_asymp_source,testing_asymptomatic_individuals,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[testing_asymp_status]<>9,y,,,,,
testing_asymp_url,testing_asymptomatic_individuals,,notes,url,,,,,,,[testing_asymp_status]<>9,,,,,,
mask_status,universal_face_mask_policies,"Mandated Mask Use",dropdown,"What is the current policy recommending or requiring the use of face masks in non-symptomatic individuals?","1, none | 2, recommended | 3, required | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
mask_pop,universal_face_mask_policies,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, demographic subpopulation | 4, other subpopulation",,,,,,"[mask_status]=2 OR [mask_status]=3",y,,,,,
mask_t,universal_face_mask_policies,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[mask_status]<>9,y,,,,,
mask_desc,universal_face_mask_policies,,notes,Details,,,,,,,,,,,,,
mask_source,universal_face_mask_policies,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[mask_status]<>9,y,,,,,
mask_url,universal_face_mask_policies,,notes,url,,,,,,,[mask_status]<>9,,,,,,
enforcement_deployed_status,military_and_police_deployment,"Military and Police Deployment",dropdown,"Deployment of military and/or police to enforce COVID-19 related rules/restrictions","0, no | 1, yes | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
enforcement_deployed_t,military_and_police_deployment,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[enforcement_deployed_status]<>9,y,,,,,
enforcement_deployed_desc,military_and_police_deployment,,notes,Details,,,,,,,,,,,,,
enforcement_deployed_source,military_and_police_deployment,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[enforcement_deployed_status]<>9,y,,,,,
enforcement_deployed_url,military_and_police_deployment,,notes,url,,,,,,,[enforcement_deployed_status]<>9,,,,,,
state_of_emergency_status,state_of_emergency,"State of Emergency",dropdown,"State of emergency declared by authorities? ","0, no | 1, yes | 9, unknown","a legal definition with additional legal powers granted to governments",,,,,,y,,,,," @HIDECHOICE='9'"
state_of_emergency_t,state_of_emergency,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"[state_of_emergency_status] <>9",y,,,,,
state_of_emergency_desc,state_of_emergency,,notes,Details,,,,,,,,,,,,,
state_of_emergency_source,state_of_emergency,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,"[state_of_emergency_status] <>9",y,,,,,
state_of_emergency_url,state_of_emergency,,notes,url,,,,,,,"[state_of_emergency_status] <>9",,,,,,
other_intervention_desc,other_interventions,,notes,"Add a description of this 'other' intervention:",,,,,,,,,,,,,
other_intervention_event,other_interventions,,dropdown,"How has this policy intervention changed?","1, intervention started | 2, intervention changed | 3, intervention stopped",,,,,,,,,,,,
other_intervention_t,other_interventions,,text,"When did this change occur?",,,date_ymd,,,,,,,,,,
other_intervention_source,other_interventions,,file,"Source document",,,,,,,,,,,,,
other_intervention_url,other_interventions,,notes,"url for source(s)",,,,,,,,,,,,,
other_intervention_add,other_interventions,,yesno,"Would you like to update for another 'other' intervention?",,,,,,,,,,,,,
other_intervention_2_desc,other_interventions,,notes,"Add a description of this 'other' intervention:",,,,,,,[other_intervention_add]=1,,,,,,
other_intervention_2_event,other_interventions,,dropdown,"How has this policy intervention changed?","1, intervention started | 2, intervention changed | 3, intervention stopped",,,,,,[other_intervention_add]=1,,,,,,
other_intervention_2_t,other_interventions,,text,"When did this change occur?",,,date_ymd,,,,[other_intervention_add]=1,,,,,,
other_intervention_2_source,other_interventions,,file,"Source document",,,,,,,[other_intervention_add]=1,,,,,,
other_intervention_2_url,other_interventions,,notes,"url for source(s)",,,,,,,[other_intervention_add]=1,,,,,,
other_intervention_add_2,other_interventions,,yesno,"Would you like to update for another 'other' intervention?",,,,,,,[other_intervention_add]=1,,,,,,
other_intervention_3_desc,other_interventions,,notes,"Add a description of this 'other' intervention:",,,,,,,[other_intervention_add_2]=1,,,,,,
other_intervention_3_event,other_interventions,,dropdown,"How has this policy intervention changed?","1, intervention started | 2, intervention changed | 3, intervention stopped",,,,,,[other_intervention_add_2]=1,,,,,,
other_intervention_3_t,other_interventions,,text,"When did this change occur?",,,date_ymd,,,,[other_intervention_add_2]=1,,,,,,
other_intervention_3_source,other_interventions,,file,"Source document",,,,,,,[other_intervention_add_2]=1,,,,,,
other_intervention_3_url,other_interventions,,notes,"url for source(s)",,,,,,,[other_intervention_add_2]=1,,,,,,
mobile_phone_law_status,optional_mobile_phone_interventions,,yesno,"Have privacy or telecommunication laws (related to COVID-19) been changed since the last update?
",,,,,,,,,,,,,
mobile_phone_law_t,optional_mobile_phone_interventions,,text,"Date of policy change (privacy and telecommunications law)",,,date_dmy,2019-12-30,,,[mobile_phone_law_status]=1,,,,,,
mobile_phone_use_status,optional_mobile_phone_interventions,,checkbox,"Were any of the following policies surrounding phones changed? 

","1, use of mobile phones to disseminate information/recommendations | 2, use of mobile device geolocation data to identify contacts | 3, use of mobile device geolocation data to enforce isolation/quarantine",,,,,,,,,,,,
mobile_phone_dissem_t,optional_mobile_phone_interventions,,text,"Date of policy change (disseminate information)",,,date_dmy,2019-12-30,,,[mobile_phone_use_status(1)]=1,,,,,,
mobile_dissem_pop,optional_mobile_phone_interventions,,dropdown,"To which population does this apply (disseminate information)?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[mobile_phone_use_status(1)]=1,,,,,,
mobile_phone_contact_t,optional_mobile_phone_interventions,,text,"Date of policy change (geolocate contacts)",,,date_dmy,2019-12-30,,,[mobile_phone_use_status(2)]=1,,,,,,
mobile_dissem_contact,optional_mobile_phone_interventions,,dropdown,"To which population does this apply (geolocate contacts)?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[mobile_phone_use_status(2)]=1,,,,,,
mobile_phone_iso_t,optional_mobile_phone_interventions,,text,"Date of policy change (enforce isolation)",,,date_dmy,2019-12-30,,,[mobile_phone_use_status(3)]=1,,,,,,
mobile_dissem_iso,optional_mobile_phone_interventions,,dropdown,"To which population does this apply (enforce isolation)?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[mobile_phone_use_status(3)]=1,,,,,,
mobile_phone_desc,optional_mobile_phone_interventions,,notes,Details,,,,,,,,,,,,,
mobile_phone_source,optional_mobile_phone_interventions,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,,,,,,,
mobile_phone_url,optional_mobile_phone_interventions,,notes,url,,,,,,,,,,,,,
behave_change_type_status,optional_behavior_change_interventions,,checkbox,"Were any of the following policies surrounding behavior change campaigns changed? 

","1, General public awareness campaigns | 2, Handwashing communications | 3, Social distancing communications",,,,,,,,,,,,
behave_change_general_t,optional_behavior_change_interventions,,text,"Date of policy change (general campaign)",,,date_dmy,2019-12-30,,,[behave_change_type_status(1)]=1,,,,,,
behave_change_handw_t,optional_behavior_change_interventions,,text,"Date of policy change (handwashing communications)",,,date_dmy,2019-12-30,,,[behave_change_type_status(2)]=1,,,,,,
behave_change_sociald_t,optional_behavior_change_interventions,,text,"Date of policy change (social distancing)",,,date_dmy,2019-12-30,,,[behave_change_type_status(3)]=1,,,,,,
behavior_change_desc,optional_behavior_change_interventions,,notes,Details,,,,,,,,,,,,,
behavior_change_source,optional_behavior_change_interventions,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,,,,,,,
behavior_change_url,optional_behavior_change_interventions,,notes,url,,,,,,,,,,,,,
fund_research_type_status,optional_public_funding_of_research,,checkbox,"Have there been any changes in investment of public funds for these particular research areas ? ","1, Treatment development | 2, Vaccine development | 3, Public health strategies research | 4, Clinical studies | 5, Economic and social studies research | 6, Natural history studies | 7, Serological surveys",,,,,,,,,,,,
fund_research_trt_t,optional_public_funding_of_research,,text,"Date of policy change (Treatment development)",,,date_dmy,2019-12-30,,,[fund_research_type_status(1)]=1,,,,,,
fund_research_vaccine_t,optional_public_funding_of_research,,text,"Date of policy change (Vaccine development)",,,date_dmy,2019-12-30,,,[fund_research_type_status(2)]=1,,,,,,
fund_research_pubhlth_t,optional_public_funding_of_research,,text,"Date of policy change (Public health strategies)",,,date_dmy,2019-12-30,,,[fund_research_type_status(3)]=1,,,,,,
fund_research_clinical_t,optional_public_funding_of_research,,text,"Date of policy change (Clinical studies)",,,date_dmy,2019-12-30,,,[fund_research_type_status(4)]=1,,,,,,
fund_research_econ_t,optional_public_funding_of_research,,text,"Date of policy change (Economic and social studies)",,,date_dmy,2019-12-30,,,[fund_research_type_status(5)]=1,,,,,,
fund_research_natural_t,optional_public_funding_of_research,,text,"Date of policy change (Natural history studies)",,,date_dmy,2019-12-30,,,[fund_research_type_status(6)]=1,,,,,,
fund_research_econ_t_3,optional_public_funding_of_research,,text,"Date of policy change (Serological surveys)",,,date_dmy,2019-12-30,,,[fund_research_type_status(7)]=1,,,,,,
fund_research_desc,optional_public_funding_of_research,,notes,Details,,,,,,,,,,,,,
fund_research_source,optional_public_funding_of_research,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,,,,,,,
fund_research_url,optional_public_funding_of_research,,notes,url,,,,,,,,,,,,,
econ_social_type_status,optional_economic_social_safety_net_measures,,checkbox,"Have there be any changes to policy surrounding the following measures? 

","1, Monetary policy (interest rate reductions) | 2, Trade restrictions or controls | 3, Economic stimulus (new loans, subsidies, business bailout) | 4, Economic safety net (cash payments, food supplies, housing) | 5, Appropriation of public property for the response | 6, Appropriation of private property for the response | 7, Redeployment of public assets for manufacturing or logistics | 8, Redeployment of private assets for manufacturing or logistics",,,,,,,,,,,,
econ_social_monetary_t,optional_economic_social_safety_net_measures,,text,"Date of policy change (Monetary Policy)",,,date_dmy,2019-12-30,,,[econ_social_type_status(1)]=1,,,,,,
econ_social_trade_t,optional_economic_social_safety_net_measures,,text,"Date of policy change (Trade restrictions)",,,date_dmy,2019-12-30,,,[econ_social_type_status(2)]=1,,,,,,
econ_social_stimulus_t,optional_economic_social_safety_net_measures,,text,"Date of policy change (Economic stimulus)",,,date_dmy,2019-12-30,,,[econ_social_type_status(3)]=1,,,,,,
econ_social_safetynet_t,optional_economic_social_safety_net_measures,,text,"Date of policy change (Economic safety net)",,,date_dmy,2019-12-30,,,[econ_social_type_status(4)]=1,,,,,,
econ_social_pubprop_t,optional_economic_social_safety_net_measures,,text,"Date of policy change (Appropriate public property)",,,date_dmy,2019-12-30,,,[econ_social_type_status(5)]=1,,,,,,
econ_social_privprop_t,optional_economic_social_safety_net_measures,,text,"Date of policy change (Appropriate private property)",,,date_dmy,2019-12-30,,,[econ_social_type_status(6)]=1,,,,,,
econ_social_pubasset_t,optional_economic_social_safety_net_measures,,text,"Date of policy change (Redeploy public assets)",,,date_dmy,2019-12-30,,,[econ_social_type_status(7)]=1,,,,,,
econ_social_privasset_t,optional_economic_social_safety_net_measures,,text,"Date of policy change (Redeploy private assets)",,,date_dmy,2019-12-30,,,[econ_social_type_status(8)]=1,,,,,,
econ_social_desc,optional_economic_social_safety_net_measures,,notes,Details,,,,,,,,,,,,,
econ_social_source,optional_economic_social_safety_net_measures,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,,,,,,,
econ_social_url,optional_economic_social_safety_net_measures,,notes,url,,,,,,,,,,,,,
